year,rank,d
2013,1,1.08858366055732
2013,2,0.549711420719968
2013,3,0.535044863323944
2013,4,0.502304275451531
2013,5,0.454691059450998
2013,6,0.423911092251082
2013,7,0.397938284592222
2013,8,0.345270596057927
2013,9,0.332798196188049
2013,10,0.313058536046199
2013,11,0.310659731643982
2013,12,0.288905341097895
2013,13,0.278641721510473
2013,14,0.269657803921842
2013,15,0.268238697402958
2013,16,0.262317702288501
2013,17,0.257209563117898
2013,18,0.25581526616205
2013,19,0.245786634776953
2013,20,0.244985961915588
2013,21,0.242139969877092
2013,22,0.237907918361985
2013,23,0.233876043884025
2013,24,0.232394515248603
2013,25,0.227819982272964
2013,26,0.226795733954918
2013,27,0.224580744664567
2013,28,0.21966413470332
2013,29,0.217945440619788
2013,30,0.217088949338552
2013,31,0.208815782920016
2013,32,0.20687428117391
2013,33,0.203817490657247
2013,34,0.203743023084612
2013,35,0.203553700177248
2013,36,0.20273602182329
2013,37,0.197989898732233
2013,38,0.196489463122114
2013,39,0.193030837772824
2013,40,0.192563632555751
2013,41,0.191833984939434
2013,42,0.189824970167831
2013,43,0.188034606683746
2013,44,0.186762654743936
2013,45,0.186551481858664
2013,46,0.185472369909614
2013,47,0.184938827229214
2013,48,0.184692601830325
2013,49,0.180933372861038
2013,50,0.180432922391059
