iso3,Date,forwardspread,logrx
AUS,1983-11-30,,
AUS,1983-12-30,,
AUS,1984-01-31,,
AUS,1984-02-29,,
AUS,1984-03-30,,
AUS,1984-04-30,,
AUS,1984-05-31,,
AUS,1984-06-29,,
AUS,1984-07-31,,
AUS,1984-08-31,,
AUS,1984-09-28,,
AUS,1984-10-31,,
AUS,1984-11-30,,
AUS,1984-12-31,0.00214397707259675,
AUS,1985-01-31,0.00349636490667073,-0.0112218075673507
AUS,1985-02-28,-0.00641256205250661,-0.133531392624523
AUS,1985-03-29,0.00490712516410047,-0.0170096234243712
AUS,1985-04-30,0.00707171060213975,-0.0805804866593394
AUS,1985-05-31,0.00661815784247807,0.0358695121555932
AUS,1985-06-28,0.00627379752546166,0.014885973974804
AUS,1985-07-31,0.00592102242518031,0.0848000694238111
AUS,1985-08-30,0.00733884125544273,-0.0259385655983829
AUS,1985-09-30,0.00734911444147333,0.00874284289007714
AUS,1985-10-31,0.00655374304214952,0.00307305731434732
AUS,1985-11-29,0.00881424175297303,-0.012499731132441
AUS,1985-12-31,0.0086239627277663,0.00252017978974836
AUS,1986-01-31,0.00746404744834435,0.0538230921059569
AUS,1986-02-28,0.00821102657936143,-0.0135061141413221
AUS,1986-03-31,0.00716848947861228,0.0274702017959652
AUS,1986-04-30,0.008559674458141,0.0467625182631929
AUS,1986-05-30,0.00648404423560275,-0.0274664898309189
AUS,1986-06-30,0.0066440967878873,-0.0533118523189119
AUS,1986-07-31,0.00724081743914449,-0.115953045634649
AUS,1986-08-29,0.00994068071878995,0.0296486939221299
AUS,1986-09-30,0.00987446308443395,0.0404953490407625
AUS,1986-10-31,0.00817582479580067,0.0308183015455605
AUS,1986-11-28,0.00893730448584985,0.022386114298463
AUS,1986-12-31,0.00583710864022277,0.0313037150772832
AUS,1987-01-30,0.00863295750079634,0.000727777993683066
AUS,1987-02-27,0.00835697005447469,0.0309193073615613
AUS,1987-03-31,0.00808582362895839,0.0505870796689334
AUS,1987-04-30,0.00629592845681461,0.00210305019677867
AUS,1987-05-29,0.00539697375891019,0.0208575768652883
AUS,1987-06-30,0.00474582036926837,0.0175756471019864
AUS,1987-07-31,0.00522558234919816,-0.0265455332177005
AUS,1987-08-31,0.00418425489031742,0.0224175790931578
AUS,1987-09-30,0.00254381143392664,-0.000283045572226494
AUS,1987-10-30,0.00501254182354441,-0.0519106055760766
AUS,1987-11-30,0.00316957476127904,0.0565703514883942
AUS,1987-12-31,0.00353395485168756,0.0270142224605297
AUS,1988-01-29,0.00326079540362998,-0.0138702445265537
AUS,1988-02-29,0.00408851840913085,0.0154765418366965
AUS,1988-03-31,0.00362547102744892,0.0348893768121905
AUS,1988-04-29,0.00325301947416967,0.0256587364494366
AUS,1988-05-31,0.00488020489352773,0.059996986494413
AUS,1988-06-30,0.00486313610417269,-0.014892543937239
AUS,1988-07-29,0.00408834590860642,0.0262411505497398
AUS,1988-08-31,0.00376708656924398,0.00376708656924398
AUS,1988-09-30,0.00438459831782413,-0.0193319282994919
AUS,1988-10-31,0.00425741596071721,0.0489933098021087
AUS,1988-11-30,0.0041936108986081,0.0691679568415087
AUS,1988-12-30,0.00520057440501613,-0.0197684369241852
AUS,1989-01-31,0.00434186141314041,0.0433585137555923
AUS,1989-02-28,0.0101944176922348,-0.0994011492928031
AUS,1989-03-31,0.00547096453004481,0.0327818989241157
AUS,1989-04-28,0.00586233161128822,-0.0246131623857456
AUS,1989-05-31,0.00717921121210254,-0.0511195036154031
AUS,1989-06-30,0.00782665042811194,0.0138057414841699
AUS,1989-07-31,0.0085759947868928,0.00782665042811194
AUS,1989-08-31,0.0069283462647789,0.0197442020366762
AUS,1989-09-29,0.0082584500547048,0.0212406866046523
AUS,1989-10-31,0.00794458575350078,0.0172110613268187
AUS,1989-11-30,0.00787252204964138,0.00864861832452966
AUS,1989-12-29,0.00786786120061374,0.0172283039601773
AUS,1990-01-31,0.0058273435873937,-0.0189417245250151
AUS,1990-02-28,0.00614126802208243,-0.00526136407572914
AUS,1990-03-30,0.00564654238821004,-0.00113314459716873
AUS,1990-04-30,0.00575853216026566,-0.000975500021078414
AUS,1990-05-31,0.00521233741794764,0.030128688682482
AUS,1990-06-29,0.00568991577767868,0.0359599800804349
AUS,1990-07-31,0.00640850328058723,0.00719683599780377
AUS,1990-08-31,0.00649880435116616,0.0328686902862597
AUS,1990-09-28,0.0052029683381139,0.0223532457807481
AUS,1990-10-31,0.00384148486988027,-0.0475341784481562
AUS,1990-11-30,0.0027042705296358,-0.0112819714451041
AUS,1990-12-31,0.00384763845207052,-0.000771307404223981
AUS,1991-01-31,0.00406123644739349,0.0187616946002716
AUS,1991-02-28,0.0047022030214361,0.00782476605822972
AUS,1991-03-29,0.00448535281407874,-0.00871872251929846
AUS,1991-04-30,0.00444566500633066,0.0129695445892307
AUS,1991-05-31,0.00402018215053278,-0.0236101250424725
AUS,1991-06-28,0.00329540092070364,0.0139499918188068
AUS,1991-07-31,0.00380568204262221,0.0168978983111262
AUS,1991-08-30,0.00407396364157732,0.0126376594184524
AUS,1991-09-30,0.00319234109897295,0.0221352911119315
AUS,1991-10-31,0.00249143697856481,-0.0219096162531157
AUS,1991-11-29,0.00235201990043082,0.0093750686654561
AUS,1991-12-31,0.00303490369515411,-0.0300832558527231
AUS,1992-01-31,0.00263108590046621,-0.00641874961945164
AUS,1992-02-28,0.00241072890595407,0.00466552129304327
AUS,1992-03-31,0.00284364023615421,0.0226011218245546
AUS,1992-04-30,0.00203981485754534,-0.0147033464379321
